United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2000,1,9.0,8.5,9.7,8.1,10.1,7.9,10.3,1,1.6,0.9,1.8,1.2,1.9,0.9,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.6,2.1,1.6,2.3,1.6,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.8,2.1,1.8,2.1,1.6,2.3,1,1.3,1.1,1.4,0.9,1.4,0.9,1.6,5,15.0,13.9,17.1,13.6,17.8,12.9,18.4
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.5,5.9,6.7,5.7,7.0,5.5,7.2,1,14.6,12.3,15.6,11.8,16.4,11.5,16.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.1,18.2,22.3,17.5,23.4,17.0,24.1
2002,1,15.5,15.5,17.0,15.1,17.4,15.0,17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.7,4.4,5.0,4.2,5.4,4.0,5.4,2,3.8,3.3,4.2,3.0,4.6,3.0,4.8,1,2.2,1.8,2.5,1.7,2.7,1.7,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26.2,25.0,28.7,24.0,30.1,23.7,30.6
2003,1,8.4,7.7,8.5,7.5,8.7,7.3,8.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.3,11.9,14.9,11.5,15.4,11.1,15.9,1,9.0,7.7,9.3,7.4,9.8,7.4,10.0,1,6.4,5.4,6.7,5.2,7.1,5.1,7.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,37.1,32.7,39.4,31.6,41.0,30.9,42.2
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.7,2.5,3.1,2.4,3.2,2.3,3.3,4,86.1,77.1,92.0,74.8,95.2,73.8,96.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,88.8,79.6,95.1,77.2,98.4,76.1,100.2
2005,1,2.3,2.4,2.7,2.2,2.7,2.2,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.4,1.3,1.4,1.1,1.4,4,255.1,214.0,278.7,203.3,294.5,196.6,304.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,258.8,217.7,282.8,206.8,298.6,199.9,309.1
2006,1,9.2,8.6,9.9,8.4,10.3,8.3,10.4,1,2.3,2.1,3.2,2.0,3.5,1.8,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.5,9.7,11.0,9.4,11.3,9.1,11.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,2.0,2.4,2.0,2.6,1.8,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,24.2,22.4,26.5,21.8,27.7,21.0,28.4
2007,1,5.3,5.3,5.9,5.1,6.0,5.1,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.2,4.6,5.9,4.4,6.2,4.2,6.2,1,3.7,3.2,3.7,3.1,3.7,3.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3.8,4.4,3.7,4.5,3.5,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.2,16.9,19.9,16.3,20.4,15.9,20.8
2008,1,10.1,9.5,10.8,9.2,11.2,9.1,11.4,1,14.3,11.2,14.1,10.7,14.7,10.4,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.7,12.1,14.0,11.7,14.2,11.0,14.4,3,51.7,47.3,55.6,46.1,57.4,45.4,58.5,1,1.7,1.7,1.9,1.5,1.9,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,90.5,81.8,96.4,79.2,99.4,77.3,101.4
2009,1,5.0,4.9,6.0,4.8,6.3,4.6,6.5,1,1.3,1.0,1.3,0.8,1.3,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.3,10.5,11.5,10.3,11.9,10.1,12.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.6,1.3,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,19.0,17.7,20.4,17.2,21.2,16.6,21.6
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.8,4.2,6.0,3.9,6.3,3.8,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.5,12.2,14.0,11.8,14.5,11.7,14.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.1,1.4,1.1,1.5,1.1,1.5,7,19.4,17.5,21.4,16.8,22.3,16.6,23.1
2011,1,16.5,14.9,17.0,14.5,17.5,14.4,17.9,2,6.9,6.6,8.0,6.3,8.3,6.1,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,43.4,39.9,46.7,38.8,48.8,37.4,51.1,2,21.5,18.7,23.3,18.2,24.4,18.0,25.0,1,2.5,2.0,2.7,1.9,2.8,1.8,3.0,2,3.7,3.2,3.7,2.8,3.9,2.8,4.1,18,94.5,85.3,101.4,82.5,105.7,80.5,109.6
2012,1,40.2,38.7,43.4,37.9,44.6,37.4,45.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,21.6,20.0,22.3,19.6,22.9,19.6,23.2,2,88.8,73.7,97.2,69.8,102.5,67.6,105.5,1,2.3,2.0,2.5,2.0,2.7,1.9,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,152.9,134.4,165.4,129.3,172.7,126.5,176.8
2013,1,13.8,13.1,15.0,12.7,15.4,12.4,15.8,2,3.4,3.0,4.1,2.8,4.5,2.8,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.0,13.0,14.7,12.6,15.4,12.5,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31.2,29.1,33.8,28.1,35.3,27.7,36.4
2014,1,5.1,4.4,5.9,4.2,6.2,3.9,6.5,1,1.3,1.3,1.5,1.0,1.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.4,14.7,16.2,14.5,16.9,14.3,17.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.8,2.7,3.1,2.5,3.3,2.3,3.4,10,24.6,23.1,26.7,22.2,27.9,21.5,28.5
2015,1,5.8,5.2,7.4,4.9,8.1,4.7,8.5,2,5.9,4.7,6.0,4.5,6.2,4.4,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.5,9.9,11.4,9.6,11.9,9.5,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,3.6,4.1,3.4,4.1,3.4,4.2,1,3.9,3.8,4.0,3.6,4.2,3.5,4.3,11,29.9,27.2,32.9,26.0,34.5,25.5,35.6
2016,1,4.4,3.1,4.9,2.8,5.1,2.6,5.4,4,20.3,15.8,24.0,14.9,25.2,14.0,26.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,18.3,16.4,19.1,15.5,19.5,15.4,20.0,1,12.6,9.3,13.7,9.1,14.1,8.8,14.5,1,3.0,2.6,3.2,2.5,3.2,2.5,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,58.6,47.2,64.9,44.8,67.1,43.3,69.5
2017,1,3.1,2.4,3.4,2.3,3.6,2.1,3.8,2,4.0,3.0,4.5,2.8,4.8,2.7,5.0,1,1.3,1.0,1.4,1.0,1.5,0.9,1.5,11,24.1,22.4,25.6,21.5,26.3,20.5,27.4,3,326.0,263.3,377.7,236.8,415.2,221.5,430.6,1,22.3,18.4,25.4,17.6,27.3,17.4,27.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,380.8,310.5,438.0,282.0,478.7,265.1,496.2
2018,1,3.7,3.3,4.2,3.2,4.3,3.1,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,16.4,14.9,17.5,14.3,18.8,13.6,20.0,2,58.8,48.0,69.6,42.0,75.6,36.6,81.0,1,29.0,24.0,34.2,23.0,35.1,21.8,36.3,2,4.0,3.4,4.4,3.2,4.7,3.1,4.9,16,111.9,93.6,129.9,85.7,138.5,78.2,146.9
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.0,19.2,28.0,18.3,29.5,17.2,33.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.4,15.1,18.5,14.4,19.3,13.8,20.3,2,7.8,4.9,10.0,4.7,10.7,4.3,11.4,1,5.4,3.9,6.3,3.6,7.1,3.0,7.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,53.6,43.1,62.8,41.0,66.6,38.3,72.5
2020,1,5.3,4.6,5.9,4.3,6.2,4.1,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,39.4,36.1,43.0,34.8,44.7,33.4,46.5,7,52.8,43.9,58.1,41.3,58.6,39.3,61.9,1,19.2,15.8,22.8,15.2,22.0,14.6,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,116.7,100.4,129.8,95.6,131.5,91.4,138.8
2021,1,9.8,9.3,10.3,8.7,11.1,8.2,11.7,2,2.8,2.4,3.2,2.3,3.5,2.1,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.2,18.9,24.7,18.4,26.1,17.4,27.1,4,85.5,72.7,98.9,68.8,102.8,62.3,110.0,1,11.6,9.5,13.3,8.8,14.1,8.3,14.7,1,26.3,23.2,30.5,22.4,31.4,21.1,32.6,20,158.2,136.0,180.9,129.4,189.0,119.4,199.8
2022,1,22.6,20.2,25.8,19.3,26.4,18.6,27.4,1,1.5,1.2,1.8,1.1,1.9,1.0,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.2,20.3,23.1,19.2,24.0,18.5,25.2,3,118.8,97.9,134.4,91.3,142.9,82.2,154.1,1,3.2,2.6,3.7,2.5,3.8,2.4,3.9,1,8.6,7.8,9.2,7.3,9.9,6.9,10.5,18,176.9,150.0,198.0,140.7,208.9,129.6,223.2
2023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.6,3.7,5.6,3.1,6.0,2.8,6.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,26.3,23.1,28.9,21.8,30.5,20.7,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.4,1.9,1.3,2.0,1.2,2.2,12,32.7,28.2,36.4,26.2,38.5,24.7,40.6
