,Country Name,CO2_tonpc,GDP_pc,PM25_mcgpcm,pop_den
60,Equatorial Guinea,3.139988835,6472.070883,45.28465901,55.36652406
61,Eritrea,0.199267295,..,44.07053957,28.89661565
62,Estonia,7.582120103,20269.57514,5.893562381,31.03854971
63,Eswatini,0.999903387,3766.062999,23.34521196,68.00075581
64,Ethiopia,0.155169189,785.4849817,33.7807199,101.1195648
65,Faroe Islands,..,56402.39445,..,37.02077364
66,Fiji,1.517205337,5678.969942,10.9932094,50.27175698
67,Finland,7.423039601,46135.88142,5.565330197,18.16736091
68,France,4.460164948,38832.0242,11.40575038,123.0702941
69,French Polynesia,..,19807.29314,..,86.34889081
70,Gabon,2.351763544,6893.323106,36.74675483,8.704098265
71,"Gambia, The",0.241900479,668.6351211,58.08072376,247.9133399
72,Georgia,2.835791247,4773.335666,17.85586499,65.08556982
73,Germany,7.927187624,43284.60246,11.80580716,237.8229543
74,Ghana,0.572264896,1981.613928,53.98926008,138.5351587
75,Gibraltar,..,..,..,3268.5
76,Greece,5.595284353,19018.90212,14.2538714,83.17751746
77,Greenland,..,48170.7909,6.462977097,0.136983798
78,Grenada,2.820964115,9247.898382,21.48591655,360.9529412
79,Guam,..,35378.95577,8.221834725,312.2666667
80,Guatemala,1.145372815,4263.708444,27.64788197,154.946118
81,Guinea,0.350765779,937.7031315,52.51253174,52.40737018
82,Guinea-Bissau,0.165088606,633.7257459,54.06829369,70.07315078
83,Guyana,3.500331141,6348.69809,20.10090382,4.057673355
84,Haiti,0.297241022,1387.514913,19.03230796,404.9505806
85,Honduras,1.023855315,2446.108097,22.87512366,89.00553222
86,"Hong Kong SAR, China",..,44195.26234,..,7150.380952
87,Hungary,4.836876267,15083.59917,16.49434933,107.0692636
88,Iceland,4.543450104,57461.80196,5.698616135,3.575949618
89,India,1.752534366,1944.314837,83.19931634,465.1946394
90,Indonesia,2.245285771,3892.421662,19.37146134,143.5846338
91,"Iran, Islamic Rep.",7.222980003,5017.117215,38.01508315,53.35235871
92,Iraq,4.347264139,4854.386495,48.46825216,95.74024251
93,Ireland,7.257748757,75239.30289,7.854094218,71.62636087
94,Isle of Man,..,95137.2757,..,147.2508772
95,Israel,6.935752154,39591.36876,19.75989688,418.3918669
96,Italy,5.311030987,32114.29986,16.08828133,201.9805456
97,Jamaica,2.983289697,5307.511041,15.28940246,259.8128347
98,Japan,8.478400575,36043.7844,13.46980666,347.4156379
99,Jordan,2.163621448,3909.250043,30.64558855,120.4888055
100,Kazakhstan,11.05087035,11402.7584,20.29485447,6.85767789
101,Kenya,0.382362033,1653.82898,21.61458718,89.52357944
102,Kiribati,0.592397035,1405.469188,9.468882294,153.3839506
103,"Korea, Dem. People's Rep.",2.156763691,..,44.32957478,213.8978573
104,"Korea, Rep.",11.82528359,31640.21463,27.44033926,530.3772746
105,Kosovo,..,4219.097435,..,..
106,Kuwait,21.13521425,25777.56662,60.96648013,249.2199776
107,Kyrgyz Republic,1.551593817,1226.824306,24.07288994,33.66110532
108,Lao PDR,2.658175141,2564.019654,20.54733513,31.24806326
109,Latvia,3.954965509,16069.84043,12.01165835,30.75549199
110,Lebanon,4.655297984,8081.743344,28.96029994,565.1913001
111,Lesotho,1.033426757,1040.218665,27.52281327,73.31034256
112,Liberia,0.22991646,644.1620652,50.59973692,51.75756852
113,Libya,8.325767595,9278.27171,38.59119845,3.733412142
114,Liechtenstein,3.872608388,..,..,240.5125
115,Lithuania,4.200151961,17249.71844,10.37350411,44.6205206
116,Luxembourg,15.3230398,106729.0249,10.06890585,240.827591
117,"Macao SAR, China",..,76959.2441,..,20171.82371
118,Madagascar,0.142653575,478.9269613,17.8593854,47.32405294
119,Malawi,0.087118813,573.4001137,22.34665143,200.1202482
120,Malaysia,7.464999716,11114.54271,16.59099631,99.84483336
121,Maldives,3.963267183,10753.12132,10.94405416,1681.693333
122,Mali,0.191438656,779.326625,60.62414043,16.85591916
123,Malta,3.290468236,28660.02766,12.9910498,1575.19375
124,Marshall Islands,3.405025935,4984.647201,9.044039796,248.4888889
125,Mauritania,0.872475307,1670.028839,66.8117824,4.253273503
126,Mauritius,3.296800515,10956.94502,14.91383169,623.637931
127,Mexico,3.612165141,10013.72425,20.12401203,64.34595077
128,"Micronesia, Fed. Sts.",1.330591943,2984.930124,10.38285056,159.1128571
129,Moldova,3.348667379,3439.12964,13.74739724,92.75609357
130,Monaco,..,191194.4724,11.66888949,18270.35027
131,Mongolia,7.160835656,4385.111677,38.05757134,2.075718988
132,Montenegro,4.181644556,7684.180362,21.25685256,46.24743494
133,Morocco,1.955308017,3355.613037,35.05284088,81.34530137
134,Mozambique,0.248639659,600.4033659,20.77406654,38.51267199
135,Myanmar,0.640928811,1577.802744,29.43314277,81.2627731
136,Namibia,1.764171657,4596.619636,24.19978552,2.971788799
137,Nauru,4.401582591,8254.106601,5.857163356,606.6
138,Nepal,0.480724943,1061.486278,83.10319363,201.1335612
139,Netherlands,8.41396928,48443.73205,12.0392862,515.1432729
140,New Caledonia,..,..,..,14.8380744
141,New Zealand,6.830053021,40757.36815,6.048305496,18.91003
142,Nicaragua,0.77010182,1965.277906,20.43900913,55.37580189
143,Niger,0.092100576,520.9194002,80.10926696,18.5074548
144,Nigeria,0.588005207,2505.462745,70.39625682,223.222649
145,North Macedonia,3.831137375,5386.20275,30.26931856,82.34314036
146,Northern Mariana Islands,..,20796.03042,8.151978907,108.3869565
147,Norway,7.042320943,76712.28713,6.642383374,14.6479975
148,Oman,16.45635843,18044.27045,44.57247023,14.8716252
149,Pakistan,0.824459652,1452.851429,62.57424987,289.6602325
150,Palau,12.134405,15078.70895,6.873805482,38.94782609
151,Panama,3.095050433,15166.88091,13.20059479,57.05758965
152,Papua New Guinea,0.78255289,2590.494236,16.2311858,21.0716027
153,Paraguay,1.240668873,6229.21196,12.51891553,16.43600805
154,Peru,1.735641775,6550.447518,30.82669477,25.64442266
155,Philippines,1.32152779,3589.613641,18.82613108,370.1941979
156,Poland,7.768855783,15053.23936,22.6420051,124.0255954
157,Portugal,4.332448043,21617.41162,8.254802244,112.2885828
158,Puerto Rico,..,30181.27248,6.85168132,360.0556933
159,Qatar,31.87720301,59672.64155,76.04929303,244.3198433
160,Romania,3.817062957,11252.88655,15.67108952,84.19527121
161,Russian Federation,11.79719417,9958.469727,11.59553193,8.817695994
162,Rwanda,0.113057798,871.1098908,36.18491574,520.2686664
163,Samoa,1.315212005,4421.294484,11.01483371,76.22482014
164,San Marino,..,44143.04564,9.906728131,569.6333333
165,Sao Tome and Principe,0.653311525,1676.396313,31.05885758,223.540625
166,Saudi Arabia,14.70301665,19806.11547,61.50824107,16.66629235
167,Senegal,0.768574984,1409.970821,60.21139678,83.10798837
168,Serbia,6.627579916,6567.908055,25.35417205,79.41041619
169,Seychelles,6.097823303,16747.34328,15.5639189,212.2282609
170,Sierra Leone,0.129094346,634.9856157,51.09606544,111.482793
171,Singapore,7.918410385,61386.23615,18.76588248,7965.878492
172,Sint Maarten (Dutch part),..,28972.91164,..,1223.764706
173,Slovak Republic,5.6897073,18240.72093,18.36521464,113.4389975
174,Slovenia,6.543333724,24125.39204,16.96940443,103.7119346
175,Solomon Islands,0.451560238,2203.983401,12.89495904,24.11550554
176,Somalia,0.041029203,428.4831158,30.36142727,25.47470271
177,South Africa,7.688907623,6189.289245,28.67475434,47.88354945
178,South Sudan,0.174641877,..,37.55277786,16.53294827
179,Spain,5.131798801,28087.89792,9.728788477,94.3508089
180,Sri Lanka,1.074526441,4458.434434,19.96439581,352.4316946
181,St. Kitts and Nevis,5.187374245,22137.37556,8.789142812,183.5076923
182,St. Lucia,2.993566017,11060.68889,21.22131742,292.7590164
183,St. Martin (French part),..,..,..,662.42
184,St. Vincent and the Grenadines,2.240669437,8234.274462,21.12973864,269.0358974
